test_case,observable,method,noise_level,derivative_order,rmse,eval_time,fit_time,success,implementation,mae,max_error,category
brusselator,Y(t),FiniteDiff_Python,0.0,2,2.9205789964993576,0.0004308223724365,0.0002968311309814,True,Python,,,
brusselator,Y(t),FiniteDiff_Python,0.0,3,62.140192155782906,0.0004308223724365,0.0002968311309814,True,Python,,,
brusselator,Y(t),AAA_LS_Python,0.0,0,0.0066774682476471,58.13858485221863,48.20159387588501,True,Python,,,
brusselator,Y(t),AAA_LS_Python,0.0,1,1.572703524397456,58.13858485221863,48.20159387588501,True,Python,,,
brusselator,Y(t),AAA_LS_Python,0.0,2,6.727886722752601,58.13858485221863,48.20159387588501,True,Python,,,
brusselator,Y(t),AAA_LS_Python,0.0,3,157.91240874819246,58.13858485221863,48.20159387588501,True,Python,,,
brusselator,Y(t),AAA_FullOpt_Python,0.0,0,0.0158516143035368,21.969485998153687,17.802217960357666,True,Python,,,
brusselator,Y(t),AAA_FullOpt_Python,0.0,1,1.5665731098647164,21.969485998153687,17.802217960357666,True,Python,,,
brusselator,Y(t),AAA_FullOpt_Python,0.0,2,4.8358334742605935,21.969485998153687,17.802217960357666,True,Python,,,
brusselator,Y(t),AAA_FullOpt_Python,0.0,3,88.57696531353912,21.969485998153687,17.802217960357666,True,Python,,,
brusselator,Y(t),GP_RBF_Iso_Python,0.0,0,0.0602001194140899,1.110206127166748,0.3440771102905273,True,Python,,,
brusselator,Y(t),GP_RBF_Iso_Python,0.0,1,0.6258565014035519,1.110206127166748,0.3440771102905273,True,Python,,,
brusselator,Y(t),GP_RBF_Iso_Python,0.0,2,5.719778251937727,1.110206127166748,0.3440771102905273,True,Python,,,
brusselator,Y(t),GP_RBF_Iso_Python,0.0,3,94.13613689813654,1.110206127166748,0.3440771102905273,True,Python,,,
brusselator,Y(t),GP_Matern_1.5_Python,0.0,0,8.258086598512801e-08,1.2277555465698242,0.4309568405151367,True,Python,,,
brusselator,Y(t),GP_Matern_1.5_Python,0.0,1,0.290339575009719,1.2277555465698242,0.4309568405151367,True,Python,,,
brusselator,Y(t),GP_Matern_1.5_Python,0.0,2,2.998107025506917,1.2277555465698242,0.4309568405151367,True,Python,,,
brusselator,Y(t),GP_Matern_1.5_Python,0.0,3,62.49096315527903,1.2277555465698242,0.4309568405151367,True,Python,,,
brusselator,Y(t),GP_Matern_2.5_Python,0.0,0,0.0090895724911367,1.349232196807861,0.4710731506347656,True,Python,,,
brusselator,Y(t),GP_Matern_2.5_Python,0.0,1,0.2968767510523804,1.349232196807861,0.4710731506347656,True,Python,,,
brusselator,Y(t),GP_Matern_2.5_Python,0.0,2,2.186460061967066,1.349232196807861,0.4710731506347656,True,Python,,,
brusselator,Y(t),GP_Matern_2.5_Python,0.0,3,76.70694160100483,1.349232196807861,0.4710731506347656,True,Python,,,
brusselator,Y(t),GP_Periodic_Python,0.0,0,1.2075520252859435,1.3844850063323977,0.5149879455566406,True,Python,,,
brusselator,Y(t),GP_Periodic_Python,0.0,1,1.7554625045988763,1.3844850063323977,0.5149879455566406,True,Python,,,
brusselator,Y(t),GP_Periodic_Python,0.0,2,7.647528014341407,1.3844850063323977,0.5149879455566406,True,Python,,,
brusselator,Y(t),GP_Periodic_Python,0.0,3,98.5395184079501,1.3844850063323977,0.5149879455566406,True,Python,,,
brusselator,X(t),CubicSpline_Python,0.001,0,0.0008411090729077,0.0021805763244628,0.0017950534820556,True,Python,,,
brusselator,X(t),CubicSpline_Python,0.001,1,0.2985518239670005,0.0021805763244628,0.0017950534820556,True,Python,,,
brusselator,X(t),CubicSpline_Python,0.001,2,2.996367566372873,0.0021805763244628,0.0017950534820556,True,Python,,,
brusselator,X(t),CubicSpline_Python,0.001,3,66.97463909972718,0.0021805763244628,0.0017950534820556,True,Python,,,
brusselator,X(t),SmoothingSpline_Python,0.001,0,0.0315516468724899,0.0005490779876708,0.0003097057342529,True,Python,,,
brusselator,X(t),SmoothingSpline_Python,0.001,1,0.4258905918030367,0.0005490779876708,0.0003097057342529,True,Python,,,
brusselator,X(t),SmoothingSpline_Python,0.001,2,2.0089331151735177,0.0005490779876708,0.0003097057342529,True,Python,,,
brusselator,X(t),SmoothingSpline_Python,0.001,3,73.56823595993983,0.0005490779876708,0.0003097057342529,True,Python,,,
brusselator,X(t),RBF_ThinPlate_Python,0.001,0,0.0008411090727501,0.0005226135253906,0.0003135204315185,True,Python,,,
brusselator,X(t),RBF_Multiquadric_Python,0.001,0,0.0008411088307498,0.0003070831298828,0.000201940536499,True,Python,,,
brusselator,X(t),GP_RBF_Python,0.001,0,0.0322841021806461,1.1095099449157717,0.3590869903564453,True,Python,,,
brusselator,X(t),GP_RBF_Python,0.001,1,0.4672386850996989,1.1095099449157717,0.3590869903564453,True,Python,,,
brusselator,X(t),GP_RBF_Python,0.001,2,4.428892601286314,1.1095099449157717,0.3590869903564453,True,Python,,,
brusselator,X(t),GP_RBF_Python,0.001,3,90.47524732051696,1.1095099449157717,0.3590869903564453,True,Python,,,
brusselator,X(t),GP_Matern_Python,0.001,0,0.0008411109042322,1.2636005878448486,0.47762131690979,True,Python,,,
brusselator,X(t),GP_Matern_Python,0.001,1,0.3071812366414047,1.2636005878448486,0.47762131690979,True,Python,,,
brusselator,X(t),GP_Matern_Python,0.001,2,3.283756790642918,1.2636005878448486,0.47762131690979,True,Python,,,
brusselator,X(t),GP_Matern_Python,0.001,3,68.24704766807787,1.2636005878448486,0.47762131690979,True,Python,,,
